StudentID,Name,Class,Programming,Database,OOP,Total_Sum,Average,Percentage,Grade
101,Yasir,BSCS,85.0,90.0,88.0,263.0,87.67,87.67,B
102,Ali,BSCS,78.0,82.0,80.0,240.0,80.0,80.0,B
103,Hassan,BSCS,92.0,88.0,91.0,271.0,90.33,90.33,A
104,Ayesha,BSCS,95.0,94.0,96.0,285.0,95.0,95.0,A
105,Sara,BSCS,70.0,75.0,72.0,217.0,72.33,72.33,C
106,Ahmed,BSCS,88.0,85.0,87.0,260.0,86.67,86.67,B
107,Fatima,BSCS,90.0,92.0,89.0,271.0,90.33,90.33,A
108,Zain,BSCS,65.0,68.0,70.0,203.0,67.67,67.67,D
109,Maryam,BSCS,83.0,80.0,85.0,248.0,82.67,82.67,B
110,Usman,BSCS,76.0,79.0,81.0,236.0,78.67,78.67,C
111,Bilal,BSCS,60.0,65.0,63.0,188.0,62.67,62.67,D
112,Hina,BSCS,91.0,89.0,93.0,273.0,91.0,91.0,A
113,Hamza,BSCS,84.0,82.0,86.0,252.0,84.0,84.0,B
115,Hussain,BSCS,67.0,70.0,68.0,205.0,68.33,68.33,D
116,Prem,BSIT,65.0,75.0,96.0,236.0,78.67,78.67,C
118,Umair Sajan,BSIT,67.0,55.0,77.0,199.0,66.33,66.33,D
